chord,altchord,measure,beat,totbeat,timesig,op,no,mov,length,global_key,local_key,pedal,numeral,form,figbass,changes,relativeroot,phraseend
iv64,,95,4,381,2/2,131,14,1,1,c#,iv,,iv,,64,,,FALSE
viio65,,96,1,382,2/2,131,14,1,1,c#,iv,,vii,o,65,,,FALSE
III6,,96,2,383,2/2,131,14,1,1,c#,iv,,III,,6,,,FALSE
V43,,96,3,384,2/2,131,14,1,2,c#,iv,,V,,43,,,FALSE
i(2),,97,1,386,2/2,131,14,1,1,c#,iv,,i,,,2,,FALSE
i,,97,2,387,2/2,131,14,1,1,c#,iv,,i,,,,,FALSE
VI,,97,3,388,2/2,131,14,1,1,c#,iv,,VI,,,,,FALSE
VI6,,97,4,389,2/2,131,14,1,1,c#,iv,,VI,,6,,,FALSE
VI6,,98,1,390,2/2,131,14,1,1,c#,iv,,VI,,6,,,FALSE
V7,,98,2,391,2/2,131,14,1,1,c#,iv,,V,,7,,,FALSE
i,,98,3,392,2/2,131,14,1,1,c#,iv,,i,,,,,FALSE
V6,,98,4,393,2/2,131,14,1,1,c#,iv,,V,,6,,,FALSE
V43,,99,1,394,2/2,131,14,1,2,c#,iv,,V,,43,,,FALSE
i,,99,3,396,2/2,131,14,1,2,c#,iv,,i,,,,,FALSE
i.#viio7,,100,1,398,2/2,131,14,1,4,c#,i,,#vii,o,7,,,FALSE
i,,101,1,402,2/2,131,14,1,4,c#,i,,i,,,,,FALSE
#viio2,,102,1,406,2/2,131,14,1,6,c#,i,,#vii,o,2,,,FALSE
V(64),,103,3,412,2/2,131,14,1,1,c#,i,,V,,,64,,FALSE
V7,,103,4,413,2/2,131,14,1,1,c#,i,,V,,7,,,FALSE
#viio43,,104,1,414,2/2,131,14,1,2,c#,i,,#vii,o,43,,,FALSE
iv6(7),,104,3,416,2/2,131,14,1,1,c#,i,,iv,,6,7,,FALSE
iv6,,104,4,417,2/2,131,14,1,1,c#,i,,iv,,6,,,FALSE
V43(7)/iv,,105,1,418,2/2,131,14,1,1,c#,i,,V,,43,7,iv,FALSE
V43/iv,,105,2,419,2/2,131,14,1,1,c#,i,,V,,43,,iv,FALSE
iv,,105,3,420,2/2,131,14,1,1,c#,i,,iv,,,,,FALSE
V2,,105,4,421,2/2,131,14,1,1,c#,i,,V,,2,,,FALSE
i6,,106,1,422,2/2,131,14,1,2,c#,i,,i,,6,,,FALSE
iv(4),,106,3,424,2/2,131,14,1,1,c#,i,,iv,,,4,,FALSE
iv,,106,4,425,2/2,131,14,1,1,c#,i,,iv,,,,,FALSE
V2/bII,,107,1,426,2/2,131,14,1,2,c#,i,,V,,2,,bII,FALSE
.bII6,,107,3,428,2/2,131,14,1,2,c#,i,,bII,,6,,,FALSE
V2,,108,1,430,2/2,131,14,1,2,c#,i,,V,,2,,,FALSE
i6,,108,3,432,2/2,131,14,1,1,c#,i,,i,,6,,,FALSE
V2/vii,,108,4,433,2/2,131,14,1,3,c#,i,,V,,2,,vii,FALSE
V43,,109,3,436,2/2,131,14,1,2,c#,i,,V,,43,,,FALSE
V43,,110,1,438,2/2,131,14,1,2,c#,i,,V,,43,,,FALSE
i(4),,110,3,440,2/2,131,14,1,1,c#,i,,i,,,4,,FALSE
V/iv,,110,4,441,2/2,131,14,1,1,c#,i,,V,,,,iv,FALSE
V6/iv,,111,1,442,2/2,131,14,1,2,c#,i,,V,,6,,iv,FALSE
iv,,111,3,444,2/2,131,14,1,2,c#,i,,iv,,,,,FALSE
.bII(#2),,112,1,446,2/2,131,14,1,2,c#,i,,bII,,,#2,,FALSE
iv64,,112,3,448,2/2,131,14,1,1,c#,i,,iv,,64,,,FALSE
#viio7,,112,4,449,2/2,131,14,1,1,c#,i,,#vii,o,7,,,FALSE
.Ger6,,113,1,450,2/2,131,14,1,4,c#,i,,Ger,,6,,,FALSE
I,,114,1,454,2/2,131,14,1,3,c#,i,,I,,,,,FALSE
.Ger6,,114,4,457,2/2,131,14,1,5,c#,i,,Ger,,6,,,FALSE
I[I,,116,1,462,2/2,131,14,1,3,c#,i,I,I,,,,,FALSE
#viio43,,116,4,465,2/2,131,14,1,3,c#,i,I,#vii,o,43,,,FALSE
I,,117,3,468,2/2,131,14,1,1,c#,i,I,I,,,,,FALSE
#viio2,,117,4,469,2/2,131,14,1,1,c#,i,I,#vii,o,2,,,FALSE
I,,118,1,470,2/2,131,14,1,1,c#,i,I,I,,,,,FALSE
#viio2,,118,2,471,2/2,131,14,1,1,c#,i,I,#vii,o,2,,,FALSE
I,,118,3,472,2/2,131,14,1,10,c#,i,I,I,,,,,FALSE
I\\\\,,121,1,482,2/2,131,14,1,4,c#,i,I,I,,,,,TRUE
.D.I,,-1,1,1,6/8,131,14,2,3,D,I,,I,,,,,FALSE
I[I,,0,1,4,6/8,131,14,2,3,D,I,I,I,,,,,FALSE
IV(#2),,1,1,7,6/8,131,14,2,1.5,D,I,I,IV,,,#2,,FALSE
IV,,1,2.5,8.5,6/8,131,14,2,6,D,I,I,IV,,,,,FALSE
I,,3,2.5,14.5,6/8,131,14,2,4.5,D,I,I,I,,,,,FALSE
IV(#2),,5,1,19,6/8,131,14,2,1.5,D,I,I,IV,,,#2,,FALSE
IV,,5,2.5,20.5,6/8,131,14,2,4.5,D,I,I,IV,,,,,FALSE
I,,7,1,25,6/8,131,14,2,6,D,I,I,I,,,,,FALSE
IV(#2),,9,1,31,6/8,131,14,2,1.5,D,I,I,IV,,,#2,,FALSE
IV6,,9,2.5,32.5,6/8,131,14,2,1.5,D,I,I,IV,,6,,,FALSE
IV64,,10,1,34,6/8,131,14,2,3,D,I,I,IV,,64,,,FALSE
vi,,11,1,37,6/8,131,14,2,1,D,I,I,vi,,,,,FALSE
I,,11,2,38,6/8,131,14,2,5,D,I,I,I,,,,,FALSE
IV(4),,13,1,43,6/8,131,14,2,1,D,I,I,IV,,,4,,FALSE
IV(#2),,13,2,44,6/8,131,14,2,0.5,D,I,I,IV,,,#2,,FALSE
IV,,13,2.5,44.5,6/8,131,14,2,1.5,D,I,I,IV,,,,,FALSE
IV,,14,1,46,6/8,131,14,2,1.5,D,I,I,IV,,,,,FALSE
IV,,14,2.5,47.5,6/8,131,14,2,1.5,D,I,I,IV,,,,,FALSE
vi,,15,1,49,6/8,131,14,2,1.5,D,I,I,vi,,,,,FALSE
I],,15,2.5,50.5,6/8,131,14,2,1.5,D,I,I,I,,,,,FALSE
iii64,,16,1,52,6/8,131,14,2,1.5,D,I,,iii,,64,,,FALSE
iii%43,,16,2.5,53.5,6/8,131,14,2,1,D,I,,iii,%,43,,,FALSE
viio2/ii,,16,3.5,54.5,6/8,131,14,2,0.5,D,I,,vii,o,2,,ii,FALSE
V7/ii,,17,1,55,6/8,131,14,2,1.5,D,I,,V,,7,,ii,FALSE
#viio/vi,,17,2.5,56.5,6/8,131,14,2,1.5,D,I,,#vii,o,,,vi,FALSE
V7,,18,1,58,6/8,131,14,2,1,D,I,,V,,7,,,FALSE
I,,18,2,59,6/8,131,14,2,0.5,D,I,,I,,,,,FALSE
V(64),,18,2.5,59.5,6/8,131,14,2,1,D,I,,V,,,64,,FALSE
V7,,18,3.5,60.5,6/8,131,14,2,0.5,D,I,,V,,7,,,FALSE
vii%43,,19,1,61,6/8,131,14,2,1.5,D,I,,vii,%,43,,,FALSE
III[vi64,,19,2.5,62.5,6/8,131,14,2,1.5,D,I,III,vi,,64,,,FALSE
I+6,,20,1,64,6/8,131,14,2,1.5,D,I,III,I,+,6,,,FALSE
I64],,20,2.5,65.5,6/8,131,14,2,1.5,D,I,III,I,,64,,,FALSE
#iv7,,21,1,67,6/8,131,14,2,1.5,D,I,,#iv,,7,,,FALSE
ii6,,21,2.5,68.5,6/8,131,14,2,1.5,D,I,,ii,,6,,,FALSE
V7(2),,22,1,70,6/8,131,14,2,1,D,I,,V,,7,2,,FALSE
V(64),,22,2,71,6/8,131,14,2,0.5,D,I,,V,,,64,,FALSE
V7,,22,2.5,71.5,6/8,131,14,2,1.5,D,I,,V,,7,,,FALSE
I\\\\,,23,1,73,6/8,131,14,2,1.5,D,I,,I,,,,,TRUE
V7,,23,2.5,74.5,6/8,131,14,2,1.5,D,I,,V,,7,,,FALSE
I6(4),,24,1,76,6/8,131,14,2,1,D,I,,I,,6,4,,FALSE
I6,,24,2,77,6/8,131,14,2,0.5,D,I,,I,,6,,,FALSE
I(2),,24,2.5,77.5,6/8,131,14,2,1,D,I,,I,,,2,,FALSE
I,,24,3.5,78.5,6/8,131,14,2,0.5,D,I,,I,,,,,FALSE
V6(4),,25,1,79,6/8,131,14,2,1,D,I,,V,,6,4,,FALSE
V6,,25,2,80,6/8,131,14,2,0.5,D,I,,V,,6,,,FALSE
V65,,25,2.5,80.5,6/8,131,14,2,1.5,D,I,,V,,65,,,FALSE
V43(2),,26,1,82,6/8,131,14,2,1.5,D,I,,V,,43,2,,FALSE
V2,,26,2.5,83.5,6/8,131,14,2,1.5,D,I,,V,,2,,,FALSE
I6(7),,27,1,85,6/8,131,14,2,1.5,D,I,,I,,6,7,,FALSE
I6,,27,2.5,86.5,6/8,131,14,2,1,D,I,,I,,6,,,FALSE
I+6,,27,3.5,87.5,6/8,131,14,2,0.5,D,I,,I,+,6,,,FALSE
ii65(4),,28,1,88,6/8,131,14,2,1,D,I,,ii,,65,4,,FALSE
ii65,,28,2,89,6/8,131,14,2,0.5,D,I,,ii,,65,,,FALSE
V,,28,2.5,89.5,6/8,131,14,2,1.5,D,I,,V,,,,,FALSE
I6,,29,1,91,6/8,131,14,2,1.5,D,I,,I,,6,,,FALSE
I(4),,29,2.5,92.5,6/8,131,14,2,1.5,D,I,,I,,,4,,FALSE
I6(4),,30,1,94,6/8,131,14,2,1.5,D,I,,I,,6,4,,FALSE
I(2),,30,2.5,95.5,6/8,131,14,2,1.5,D,I,,I,,,2,,FALSE
V6/V,,31,1,97,6/8,131,14,2,1.5,D,I,,V,,6,,V,FALSE
V6(7)/V,,31,2.5,98.5,6/8,131,14,2,1.5,D,I,,V,,6,7,V,FALSE
V6(4)/V,,32,1,100,6/8,131,14,2,1.5,D,I,,V,,6,4,V,FALSE
V65/V,,32,2.5,101.5,6/8,131,14,2,1.5,D,I,,V,,65,,V,FALSE
V.I\\\\,,33,1,103,6/8,131,14,2,3,D,V,,I,,,,,TRUE
I(2),,34,1,106,6/8,131,14,2,1.5,D,V,,I,,,2,,FALSE
I(4),,34,2.5,107.5,6/8,131,14,2,1.5,D,V,,I,,,4,,FALSE
V43,,35,1,109,6/8,131,14,2,1.5,D,V,,V,,43,,,FALSE
V43(7),,35,2.5,110.5,6/8,131,14,2,1.5,D,V,,V,,43,7,,FALSE
V43(2),,36,1,112,6/8,131,14,2,1.5,D,V,,V,,43,2,,FALSE
V43,,36,2.5,113.5,6/8,131,14,2,1.5,D,V,,V,,43,,,FALSE
I6(4),,37,1,115,6/8,131,14,2,1.5,D,V,,I,,6,4,,FALSE
V7/vi,,37,2.5,116.5,6/8,131,14,2,1.5,D,V,,V,,7,,vi,FALSE
ii6,,38,1,118,6/8,131,14,2,1.5,D,V,,ii,,6,,,FALSE
#viio43/ii,,38,2.5,119.5,6/8,131,14,2,1.5,D,V,,#vii,o,43,,ii,FALSE
V6/V,,39,1,121,6/8,131,14,2,1.5,D,V,,V,,6,,V,FALSE
.Ger6,,39,2.5,122.5,6/8,131,14,2,1.5,D,V,,Ger,,6,,,FALSE
III,,40,1,124,6/8,131,14,2,1.5,D,V,,III,,,,,FALSE
V65,,40,2.5,125.5,6/8,131,14,2,1.5,D,V,,V,,65,,,FALSE
vi,,41,1,127,6/8,131,14,2,1.5,D,V,,vi,,,,,FALSE
V/vi,,41,2.5,128.5,6/8,131,14,2,1.5,D,V,,V,,,,vi,FALSE
V7/vi,,42,1,130,6/8,131,14,2,1.5,D,V,,V,,7,,vi,FALSE
V(64)/vi,,42,2.5,131.5,6/8,131,14,2,1.5,D,V,,V,,,64,vi,FALSE
V/vi,,43,1,133,6/8,131,14,2,13.5,D,V,,V,,,,vi,FALSE
II.I,,47,2.5,146.5,6/8,131,14,2,1.5,D,II,,I,,,,,FALSE
I[I,,48,1,148,6/8,131,14,2,3,D,II,I,I,,,,,FALSE
IV(#4#2),,49,1,151,6/8,131,14,2,1.5,D,II,I,IV,,,#4#2,,FALSE
IV,,49,2.5,152.5,6/8,131,14,2,3,D,II,I,IV,,,,,FALSE
IV64],,50,2.5,155.5,6/8,131,14,2,1.5,D,II,I,IV,,64,,,FALSE
I(6),,51,1,157,6/8,131,14,2,1,D,II,,I,,,6,,FALSE
I,,51,2,158,6/8,131,14,2,0.5,D,II,,I,,,,,FALSE
I6,,51,2.5,158.5,6/8,131,14,2,1.5,D,II,,I,,6,,,FALSE
I,,52,1,160,6/8,131,14,2,1.5,D,II,,I,,,,,FALSE
ii7,,52,2.5,161.5,6/8,131,14,2,1,D,II,,ii,,7,,,FALSE
iii,,52,3.5,162.5,6/8,131,14,2,0.5,D,II,,iii,,,,,FALSE
IV(#4#2),,53,1,163,6/8,131,14,2,1.5,D,II,,IV,,,#4#2,,FALSE
IV,,53,2.5,164.5,6/8,131,14,2,1.5,D,II,,IV,,,,,FALSE
IV6,,54,1,166,6/8,131,14,2,3,D,II,,IV,,6,,,FALSE
I,,55,1,169,6/8,131,14,2,1.5,D,II,,I,,,,,FALSE
I64,,55,2.5,170.5,6/8,131,14,2,1,D,II,,I,,64,,,FALSE
V2/IV,,55,3.5,171.5,6/8,131,14,2,3,D,II,,V,,2,,IV,FALSE
IV,,56,3.5,174.5,6/8,131,14,2,0.5,D,II,,IV,,,,,FALSE
IV(2),,57,1,175,6/8,131,14,2,1.5,D,II,,IV,,,2,,FALSE
ii(4),,57,2.5,176.5,6/8,131,14,2,1,D,II,,ii,,,4,,FALSE
V.iii6,,57,3.5,177.5,6/8,131,14,2,0.5,D,V,,iii,,6,,,FALSE
V7,,58,1,178,6/8,131,14,2,3,D,V,,V,,7,,,FALSE
I,,59,1,181,6/8,131,14,2,1.5,D,V,,I,,,,,FALSE
V6(7),,59,2.5,182.5,6/8,131,14,2,1.5,D,V,,V,,6,7,,FALSE
V6,,60,1,184,6/8,131,14,2,1.5,D,V,,V,,6,,,FALSE
V6(7),,60,2.5,185.5,6/8,131,14,2,1,D,V,,V,,6,7,,FALSE
V65,,60,3.5,186.5,6/8,131,14,2,0.5,D,V,,V,,65,,,FALSE
I,,61,1,187,6/8,131,14,2,1,D,V,,I,,,,,FALSE
ii,,61,2,188,6/8,131,14,2,0.5,D,V,,ii,,,,,FALSE
viio7/ii,,61,2.5,188.5,6/8,131,14,2,1,D,V,,vii,o,7,,ii,FALSE
ii,,61,3.5,189.5,6/8,131,14,2,0.5,D,V,,ii,,,,,FALSE
V43/ii,,62,1,190,6/8,131,14,2,1.5,D,V,,V,,43,,ii,FALSE
viio7/ii,,62,2.5,191.5,6/8,131,14,2,1.5,D,V,,vii,o,7,,ii,FALSE
ii,,63,1,193,6/8,131,14,2,1,D,V,,ii,,,,,FALSE
I.I,,63,2,194,6/8,131,14,2,0.5,D,I,,I,,,,,FALSE
vii%7,,63,2.5,194.5,6/8,131,14,2,1,D,I,,vii,%,7,,,FALSE
I,,63,3.5,195.5,6/8,131,14,2,0.5,D,I,,I,,,,,FALSE
V65,,64,1,196,6/8,131,14,2,1.5,D,I,,V,,65,,,FALSE
V6(7),,64,2.5,197.5,6/8,131,14,2,1,D,I,,V,,6,7,,FALSE
V7,,64,3.5,198.5,6/8,131,14,2,0.5,D,I,,V,,7,,,FALSE
I(4),,65,1,199,6/8,131,14,2,1.5,D,I,,I,,,4,,FALSE
I,,65,2.5,200.5,6/8,131,14,2,3,D,I,,I,,,,,FALSE
V6,,66,2.5,203.5,6/8,131,14,2,3,D,I,,V,,6,,,FALSE
vi7,,67,2.5,206.5,6/8,131,14,2,3,D,I,,vi,,7,,,FALSE
V,,68,2.5,209.5,6/8,131,14,2,1.5,D,I,,V,,,,,FALSE
V2,,69,1,211,6/8,131,14,2,3,D,I,,V,,2,,,FALSE
I6,,70,1,214,6/8,131,14,2,3,D,I,,I,,6,,,FALSE
V43,,71,1,217,6/8,131,14,2,3,D,I,,V,,43,,,FALSE
V65,,72,1,220,6/8,131,14,2,1,D,I,,V,,65,,,FALSE
V43,,72,2,221,6/8,131,14,2,0.5,D,I,,V,,43,,,FALSE
I,,72,2.5,221.5,6/8,131,14,2,1.5,D,I,,I,,,,,FALSE
V6,,73,1,223,6/8,131,14,2,3,D,I,,V,,6,,,FALSE
I(4),,74,1,226,6/8,131,14,2,1,D,I,,I,,,4,,FALSE
I,,74,2,227,6/8,131,14,2,2,D,I,,I,,,,,FALSE
V.V65(7),,75,1,229,6/8,131,14,2,1,D,V,,V,,65,7,,FALSE
V43,,75,2,230,6/8,131,14,2,0.5,D,V,,V,,43,,,FALSE
I,,75,2.5,230.5,6/8,131,14,2,1,D,V,,I,,,,,FALSE
V6,,75,3.5,231.5,6/8,131,14,2,0.5,D,V,,V,,6,,,FALSE
I,,76,1,232,6/8,131,14,2,1,D,V,,I,,,,,FALSE
IV,,76,2,233,6/8,131,14,2,0.5,D,V,,IV,,,,,FALSE
V(64),,76,2.5,233.5,6/8,131,14,2,1,D,V,,V,,,64,,FALSE
V2,,76,3.5,234.5,6/8,131,14,2,0.5,D,V,,V,,2,,,FALSE
I6,,77,1,235,6/8,131,14,2,3,D,V,,I,,6,,,FALSE
I.I[I(4),,78,1,238,6/8,131,14,2,1,D,I,I,I,,,4,,FALSE
I,,78,2,239,6/8,131,14,2,2,D,I,I,I,,,,,FALSE
V7/iv,,79,1,241,6/8,131,14,2,3,D,I,I,V,,7,,iv,FALSE
V7/iv,,80,1,244,6/8,131,14,2,1.5,D,I,I,V,,7,,iv,FALSE
iv64,,80,2.5,245.5,6/8,131,14,2,2.5,D,I,I,iv,,64,,,FALSE
IV64,,81,2,248,6/8,131,14,2,0.5,D,I,I,IV,,64,,,FALSE
#viio2/iii,,81,2.5,248.5,6/8,131,14,2,3,D,I,I,#vii,o,2,,iii,FALSE
I(6),,82,2.5,251.5,6/8,131,14,2,1,D,I,I,I,,,6,,FALSE
I],,82,3.5,252.5,6/8,131,14,2,0.5,D,I,I,I,,,,,FALSE
V[I,,83,1,253,6/8,131,14,2,4.5,D,I,V,I,,,,,FALSE
I6,,84,2.5,257.5,6/8,131,14,2,1.5,D,I,V,I,,6,,,FALSE
IV(4#2),,85,1,259,6/8,131,14,2,1.5,D,I,V,IV,,,4#2,,FALSE
IV,,85,2.5,260.5,6/8,131,14,2,4.5,D,I,V,IV,,,,,FALSE
I],,87,1,265,6/8,131,14,2,1.5,D,I,V,I,,,,,FALSE
I6,,87,2.5,266.5,6/8,131,14,2,4.5,D,I,,I,,6,,,FALSE
IV(4#2),,89,1,271,6/8,131,14,2,6,D,I,,IV,,,4#2,,FALSE
I6,,91,1,277,6/8,131,14,2,3,D,I,,I,,6,,,FALSE
I,,92,1,280,6/8,131,14,2,1.5,D,I,,I,,,,,FALSE
I6(#7),,92,2.5,281.5,6/8,131,14,2,1.5,D,I,,I,,6,#7,,FALSE
IV(4#2),,93,1,283,6/8,131,14,2,1.5,D,I,,IV,,,4#2,,FALSE
IV,,93,2.5,284.5,6/8,131,14,2,4.5,D,I,,IV,,,,,FALSE
I(6),,95,1,289,6/8,131,14,2,1.5,D,I,,I,,,6,,FALSE
I,,95,2.5,290.5,6/8,131,14,2,1.5,D,I,,I,,,,,FALSE
vi,,96,1,292,6/8,131,14,2,1.5,D,I,,vi,,,,,FALSE
#viio2/ii,,96,2.5,293.5,6/8,131,14,2,1.5,D,I,,#vii,o,2,,ii,FALSE
V7/ii,,97,1,295,6/8,131,14,2,1.5,D,I,,V,,7,,ii,FALSE
iio6,,97,2.5,296.5,6/8,131,14,2,1.5,D,I,,ii,o,6,,,FALSE
V2,,98,1,298,6/8,131,14,2,1.5,D,I,,V,,2,,,FALSE
V(64),,98,2.5,299.5,6/8,131,14,2,1.5,D,I,,V,,,64,,FALSE
IV6,,99,1,301,6/8,131,14,2,1.5,D,I,,IV,,6,,,FALSE
IV.I,,99,2.5,302.5,6/8,131,14,2,1.5,D,IV,,I,,,,,FALSE
I(#7),,100,1,304,6/8,131,14,2,1.5,D,IV,,I,,,#7,,FALSE
V7/IV,,100,2.5,305.5,6/8,131,14,2,1.5,D,IV,,V,,7,,IV,FALSE
vi,,101,1,307,6/8,131,14,2,1.5,D,IV,,vi,,,,,FALSE
iio6,,101,2.5,308.5,6/8,131,14,2,1.5,D,IV,,ii,o,6,,,FALSE
V(64+2),,102,1,310,6/8,131,14,2,1,D,IV,,V,,,64+2,,FALSE
V(64),,102,2,311,6/8,131,14,2,0.5,D,IV,,V,,,64,,FALSE
V7(4),,102,2.5,311.5,6/8,131,14,2,1,D,IV,,V,,7,4,,FALSE
V7,,102,3.5,312.5,6/8,131,14,2,0.5,D,IV,,V,,7,,,FALSE
I,,103,1,313,6/8,131,14,2,3,D,IV,,I,,,,,FALSE
ii.i,,104,1,316,6/8,131,14,2,3,D,ii,,i,,,,,FALSE
V(4),,105,1,319,6/8,131,14,2,1.5,D,ii,,V,,,4,,FALSE
V2,,105,2.5,320.5,6/8,131,14,2,1.5,D,ii,,V,,2,,,FALSE
V,,106,1,322,6/8,131,14,2,1,D,ii,,V,,,,,FALSE
i6,,106,2,323,6/8,131,14,2,0.5,D,ii,,i,,6,,,FALSE
V2(4),,106,2.5,323.5,6/8,131,14,2,1,D,ii,,V,,2,4,,FALSE
V6,,106,3.5,324.5,6/8,131,14,2,0.5,D,ii,,V,,6,,,FALSE
i64,,107,1,325,6/8,131,14,2,1,D,ii,,i,,64,,,FALSE
vi.i,,107,2,326,6/8,131,14,2,0.5,D,vi,,i,,,,,FALSE
i(6),,107,2.5,326.5,6/8,131,14,2,1,D,vi,,i,,,6,,FALSE
i(42),,107,3.5,327.5,6/8,131,14,2,0.5,D,vi,,i,,,42,,FALSE
i,,108,1,328,6/8,131,14,2,1,D,vi,,i,,,,,FALSE
viio6,,108,2,329,6/8,131,14,2,0.5,D,vi,,vii,o,6,,,FALSE
V43,,108,2.5,329.5,6/8,131,14,2,1,D,vi,,V,,43,,,FALSE
vi,,108,3.5,330.5,6/8,131,14,2,0.5,D,vi,,vi,,,,,FALSE
viio6,,109,1,331,6/8,131,14,2,1,D,vi,,vii,o,6,,,FALSE
i,,109,2,332,6/8,131,14,2,0.5,D,vi,,i,,,,,FALSE
i(4),,109,2.5,332.5,6/8,131,14,2,1,D,vi,,i,,,4,,FALSE
viio,,109,3.5,333.5,6/8,131,14,2,1.5,D,vi,,vii,o,,,,FALSE
i,,110,2,335,6/8,131,14,2,1.5,D,vi,,i,,,,,FALSE
V2/iv,,110,3.5,336.5,6/8,131,14,2,2,D,vi,,V,,2,,iv,FALSE
iv6,,111,2.5,338.5,6/8,131,14,2,3,D,vi,,iv,,6,,,FALSE
.Ger6,,112,2.5,341.5,6/8,131,14,2,1.5,D,vi,,Ger,,6,,,FALSE
V[V,,113,1,343,6/8,131,14,2,1.5,D,vi,V,V,,,,,FALSE
iio64,,113,2.5,344.5,6/8,131,14,2,1.5,D,vi,V,ii,o,64,,,FALSE
i6,,114,1,346,6/8,131,14,2,1.5,D,vi,V,i,,6,,,FALSE
iio6,,114,2.5,347.5,6/8,131,14,2,1.5,D,vi,V,ii,o,6,,,FALSE
i6,,115,1,349,6/8,131,14,2,1.5,D,vi,V,i,,6,,,FALSE
iio6,,115,2.5,350.5,6/8,131,14,2,1.5,D,vi,V,ii,o,6,,,FALSE
viio2,,116,1,352,6/8,131,14,2,1.5,D,vi,V,vii,o,2,,,FALSE
i6,,116,2.5,353.5,6/8,131,14,2,1.5,D,vi,V,i,,6,,,FALSE
V64],,117,1,355,6/8,131,14,2,1.5,D,vi,V,V,,64,,,FALSE
V7,,117,2.5,356.5,6/8,131,14,2,1.5,D,vi,,V,,7,,,FALSE
VI,,118,1,358,6/8,131,14,2,1.5,D,vi,,VI,,,,,FALSE
@none,,118,2.5,359.5,6/8,131,14,2,1.5,D,vi,,,,,,,FALSE
V(64),,119,1,361,6/8,131,14,2,1.5,D,vi,,V,,,64,,FALSE
V,,119,2.5,362.5,6/8,131,14,2,1.5,D,vi,,V,,,,,FALSE
i(4),,120,1,364,6/8,131,14,2,1.5,D,vi,,i,,,4,,FALSE
#viio7/V,,120,2.5,365.5,6/8,131,14,2,1.5,D,vi,,#vii,o,7,,V,FALSE
V,,121,1,367,6/8,131,14,2,13.5,D,vi,,V,,,,,FALSE
i,,125,2.5,380.5,6/8,131,14,2,1.5,D,vi,,i,,,,,FALSE
V/iv,,126,1,382,6/8,131,14,2,3,D,vi,,V,,,,iv,FALSE
iv64,,127,1,385,6/8,131,14,2,1.5,D,vi,,iv,,64,,,FALSE
vi,,127,2.5,386.5,6/8,131,14,2,1.5,D,vi,,vi,,,,,FALSE
iv,,128,1,388,6/8,131,14,2,1.5,D,vi,,iv,,,,,FALSE
I.V7,,128,2.5,389.5,6/8,131,14,2,1.5,D,I,,V,,7,,,FALSE
V43,,129,1,391,6/8,131,14,2,3,D,I,,V,,43,,,FALSE
V43,,130,1,394,6/8,131,14,2,3,D,I,,V,,43,,,FALSE
V7,,131,1,397,6/8,131,14,2,3,D,I,,V,,7,,,FALSE
I,,132,1,400,6/8,131,14,2,1.5,D,I,,I,,,,,FALSE
V6(7),,132,2.5,401.5,6/8,131,14,2,1.5,D,I,,V,,6,7,,FALSE
V6,,133,1,403,6/8,131,14,2,1.5,D,I,,V,,6,,,FALSE
V6(7),,133,2.5,404.5,6/8,131,14,2,1,D,I,,V,,6,7,,FALSE
V65,,133,3.5,405.5,6/8,131,14,2,0.5,D,I,,V,,65,,,FALSE
I,,134,1,406,6/8,131,14,2,1,D,I,,I,,,,,FALSE
ii,,134,2,407,6/8,131,14,2,0.5,D,I,,ii,,,,,FALSE
viio7/ii,,134,2.5,407.5,6/8,131,14,2,1,D,I,,vii,o,7,,ii,FALSE
ii,,134,3.5,408.5,6/8,131,14,2,0.5,D,I,,ii,,,,,FALSE
viio7/ii,,135,1,409,6/8,131,14,2,1.5,D,I,,vii,o,7,,ii,FALSE
viio7/ii,,135,2.5,410.5,6/8,131,14,2,1,D,I,,vii,o,7,,ii,FALSE
viio/ii,,135,3.5,411.5,6/8,131,14,2,0.5,D,I,,vii,o,,,ii,FALSE
ii,,136,1,412,6/8,131,14,2,1,D,I,,ii,,,,,FALSE
IV.I,,136,2,413,6/8,131,14,2,0.5,D,IV,,I,,,,,FALSE
V6(7),,136,2.5,413.5,6/8,131,14,2,1,D,IV,,V,,6,7,,FALSE
I,,136,3.5,414.5,6/8,131,14,2,0.5,D,IV,,I,,,,,FALSE
V6,,137,1,415,6/8,131,14,2,1.5,D,IV,,V,,6,,,FALSE
V65,,137,2.5,416.5,6/8,131,14,2,1.5,D,IV,,V,,65,,,FALSE
I(4),,138,1,418,6/8,131,14,2,1.5,D,IV,,I,,,4,,FALSE
I,,138,2.5,419.5,6/8,131,14,2,3,D,IV,,I,,,,,FALSE
V6,,139,2.5,422.5,6/8,131,14,2,2.5,D,IV,,V,,6,,,FALSE
V6(2),,140,2,425,6/8,131,14,2,0.5,D,IV,,V,,6,2,,FALSE
vi7,,140,2.5,425.5,6/8,131,14,2,2.5,D,IV,,vi,,7,,,FALSE
vi7(2),,141,2,428,6/8,131,14,2,0.5,D,IV,,vi,,7,2,,FALSE
V,,141,2.5,428.5,6/8,131,14,2,1.5,D,IV,,V,,,,,FALSE
V2,,142,1,430,6/8,131,14,2,1.5,D,IV,,V,,2,,,FALSE
V2,,142,2.5,431.5,6/8,131,14,2,1.5,D,IV,,V,,2,,,FALSE
I6,,143,1,433,6/8,131,14,2,1,D,IV,,I,,6,,,FALSE
